station_id,night,morning,noon,afternoon,evening
72,15.83333333,148,167.6666667,205.75,250.125
79,8.166666667,211.3333333,208.6666667,173.75,137.125
82,7.5,35.66666667,58.33333333,68.5,85.875
83,4.5,103,85,87.5,76.375
116,32,242.6666667,308,232,308
119,3.833333333,14.66666667,6.333333333,13.5,21.5
120,5.666666667,12.33333333,21.66666667,25,53.875
127,16.83333333,181,492.6666667,337.75,426.875
128,28.66666667,356.6666667,370,370,408
137,12.66666667,344.6666667,150.6666667,204.5,85.75
143,6.833333333,224.3333333,127.3333333,89.5,83.375
144,4.833333333,27.66666667,49,70.25,60.375
146,9.166666667,124,177.6666667,177.5,159.25
147,17.66666667,332,217.3333333,284.5,308.875
150,20.5,43.33333333,58.66666667,111.5,194.25
151,44.33333333,313.6666667,650.6666667,601.25,493.125
152,12.16666667,142.3333333,171.3333333,171.25,132.75
153,13.5,358.6666667,322.3333333,337.25,161.375
157,9.833333333,33.33333333,67.33333333,102.25,123.25
160,0,0,0,1.25,0.375
161,28.66666667,184.3333333,460.6666667,420.5,405.125
164,18.83333333,319.6666667,252.3333333,142,130.5
167,22,376,319,242.25,243.875
168,18.66666667,412.3333333,505.3333333,530.75,382.25
173,31.83333333,555.6666667,335,313.5,216.5
174,26.5,411,190,287.75,377.375
195,25.33333333,275,339.3333333,243.5,186
212,16,295.6666667,306.3333333,330,271.625
216,3.166666667,18.66666667,19,54,36.125
217,10.16666667,62.33333333,215,302,218.25
224,11.66666667,116,161.6666667,175.25,151.875
225,12.5,161.6666667,270.3333333,329.75,254.25
228,16.5,382.6666667,141.3333333,128,109.125
229,44.33333333,352,524.3333333,428,430.75
232,4.166666667,49.66666667,116,172,105.875
236,55.33333333,87.33333333,230.6666667,379,444.625
237,34.16666667,92.33333333,211.3333333,345,430.25
238,14.5,62.33333333,166.3333333,218.5,226
239,5.666666667,184,99,49,47.875
241,7.666666667,65,55.66666667,66.5,64.125
242,3.666666667,61.66666667,78.33333333,66.5,80.125
243,4.5,136.6666667,62.66666667,37.25,50.75
244,13,24.33333333,38.66666667,63.75,109
245,1.666666667,11.66666667,18,27.5,37.5
247,12.5,42.33333333,129,229.75,203.25
248,3.333333333,136.6666667,74.33333333,84,65.875
249,5,236.3333333,96.66666667,109,111.25
251,31.66666667,188,364,356,364.5
252,15,130,181.6666667,264.75,266.25
253,16,171,370,321.25,218.375
254,10.33333333,101.6666667,160.3333333,184.25,207
255,0,17,22.33333333,15.5,3.125
257,14.16666667,159.6666667,264.6666667,209.25,177.125
258,10.83333333,26.33333333,48,58,91.125
259,7.666666667,251.3333333,218,211.25,110
260,2,104.6666667,70.66666667,38.5,21.125
261,9.166666667,35.66666667,99,85.25,98.25
262,3.666666667,16,24.33333333,39.25,75.875
263,34.33333333,108,297.6666667,374,322.125
264,12.83333333,176.3333333,99.66666667,109.5,139.625
265,21,85.66666667,181,248,328.625
266,7.666666667,14,35,53.75,108.125
267,6.5,142,194.3333333,133.25,126
268,21.83333333,227.6666667,277.6666667,288.25,225.75
270,3.333333333,18.33333333,35.33333333,66.75,105.625
274,5.833333333,45.66666667,75.33333333,69.75,99.25
275,2.666666667,8.333333333,23.66666667,32.5,50.25
276,9,152.3333333,169.3333333,145,132.5
278,7.166666667,40.33333333,48.66666667,62.5,61.125
279,19.83333333,171.6666667,187.3333333,298.75,224.875
280,11.66666667,89.66666667,169.6666667,225.75,204.5
281,32.16666667,443.6666667,316.6666667,484.25,263
282,10.5,32.66666667,59.66666667,127.5,130.375
284,42,330.3333333,533.6666667,531.5,533
285,35.66666667,400,547.6666667,644.75,496.25
289,2.666666667,3.333333333,8.333333333,14.75,33.75
291,8,24.33333333,49.33333333,91,112
295,20.33333333,45.66666667,87.33333333,140.25,174.25
296,22,81,215.3333333,190.25,163.375
297,42.66666667,233.3333333,229,305.25,398.75
298,2.333333333,22,40.33333333,38.5,41.25
301,38.33333333,100.3333333,169,307.25,350.25
302,18.83333333,59.33333333,50.33333333,87,143.75
303,8.5,148.6666667,210,243.25,198.25
304,17,451.6666667,570,338,204
305,21.83333333,387.3333333,231.6666667,276.75,182.625
306,19.33333333,119.3333333,152.6666667,144.75,169
307,36,132.3333333,189.3333333,244.5,292.375
308,15.83333333,45,105.3333333,126.5,129.625
309,20.83333333,266.6666667,120.3333333,201.5,140.875
310,4.166666667,73,113.3333333,112.5,84.375
311,28,95.66666667,100.3333333,124,203.375
312,54.5,90,169,295.75,370.25
313,9.333333333,35.66666667,90,88.75,100.875
315,5.333333333,233.3333333,252.3333333,209.5,180.25
316,15.16666667,151.6666667,191,156.5,138.125
317,26.16666667,93,145.3333333,288.5,325.25
319,18.66666667,175,219,215.5,169.375
320,15.83333333,154,222,177.75,148.875
321,4.833333333,44,167.3333333,159,74
322,7.666666667,60.66666667,137.3333333,160.75,96
323,13.66666667,258,163,162,130.625
324,12.33333333,338,112.3333333,86.75,84.125
325,22.16666667,75,133,178.5,290.75
326,37.33333333,129.6666667,192,343.25,353.75
327,20.5,531.6666667,322.3333333,378.5,401
328,3.5,70,50,50,49.625
329,25,324.3333333,186.6666667,293,248.75
330,16.83333333,186.3333333,171.6666667,156.5,94.25
331,14.83333333,33.66666667,44.33333333,70.25,116.375
332,5.666666667,24,56.33333333,110.25,127.125
334,36.33333333,167.6666667,367.6666667,332.5,319.375
335,11,261,292,366.5,248.375
336,25.83333333,185.3333333,320,314.75,309.25
337,3.166666667,286.3333333,153.6666667,96.5,64.875
339,7.333333333,11.66666667,24,32.5,87.875
340,11.83333333,54.33333333,43.66666667,96.75,131
341,4.333333333,69.33333333,67.33333333,98.5,106.625
342,7.5,37.33333333,59,107.25,129.875
343,9,46,98,100.5,72.25
344,5.833333333,22.33333333,35,37,50.75
345,29.33333333,213.6666667,317.3333333,347.5,358
346,13,87,167.6666667,290.75,261.625
347,22.83333333,406.3333333,275.3333333,328,347.375
348,16.5,186.3333333,394.3333333,375.25,298.875
349,20.83333333,41.66666667,56,106.25,177.625
350,12.33333333,43.66666667,94.66666667,164,203.625
351,14.5,244.6666667,96,159.5,99.75
352,1.333333333,17.33333333,8,6.5,5.375
353,5.833333333,30,38.33333333,49.75,55.625
354,4.166666667,15,52.33333333,43.25,60.5
355,22.83333333,113.6666667,237.6666667,248,215.125
356,18,42,48,90,207.5
357,11.66666667,147.6666667,264.3333333,237.5,192.125
358,21,246.3333333,339.3333333,524,473.75
359,20.66666667,1158.333333,582.3333333,216.75,166.75
360,11.66666667,196,143,110.25,100.5
361,28.83333333,91.33333333,165.6666667,223.25,301.625
362,5.5,166.3333333,208,158.25,93.75
363,17.83333333,102.3333333,194.6666667,268.25,298.5
364,8.166666667,29.33333333,31.33333333,43,80.625
365,7.5,14.33333333,33,44.5,82.375
366,8,19.33333333,57.66666667,80.75,148.75
367,11.5,695.6666667,411.6666667,189.5,87.75
368,50,219.3333333,500.3333333,579.5,515.125
369,17.66666667,61.66666667,98.66666667,177.5,262.625
372,6.333333333,5.333333333,22.66666667,30.25,41.375
373,5.666666667,3.666666667,21,32.5,41.25
376,11.33333333,118,138,105.25,89.25
377,16.33333333,297,545,202,139
379,13,373.3333333,379,386,439.625
380,38.33333333,82,200.3333333,345.25,449.125
382,29,280.6666667,439.6666667,470.5,419.875
383,20.66666667,87,186.6666667,345.5,350.5
384,13.83333333,38,59.33333333,87,126.75
385,14.83333333,164.3333333,182.3333333,172,193.25
386,5.833333333,190.3333333,230.3333333,214,113.125
387,24.33333333,273,365.3333333,547,353.875
388,15.5,336.3333333,352.6666667,246.75,233.125
389,15.33333333,21.33333333,65.66666667,92.75,124.625
390,4.166666667,127.6666667,127.3333333,56.75,59.75
391,9.333333333,81,105.6666667,88.25,113.625
392,3,41.66666667,89,65.5,53.25
393,25.83333333,31.66666667,42.66666667,95,190.125
394,29.5,68,107.3333333,192.25,283.625
395,6,39.66666667,67.33333333,76,85.875
396,9.833333333,20.66666667,39.33333333,57.75,90.25
397,6,10.66666667,23,45.25,71.75
398,4.333333333,34.33333333,77,167.75,149.75
399,5.333333333,24,47,42.25,58.125
400,4.666666667,20.66666667,23,48.75,66.75
401,43.16666667,76.33333333,205.3333333,294.75,361.125
402,27.16666667,691,1213,673.75,387.75
405,15.5,75,305.6666667,391.5,347.75
406,8.333333333,35,64,93.5,114
407,4.5,20.66666667,46,56.25,47.375
408,6,14.33333333,54,78.75,119.375
409,4.666666667,6,21.66666667,39.25,45.875
410,31.66666667,117,182,266.25,348
411,14.5,42.66666667,54.66666667,101.25,133.125
412,28,124.6666667,202,211.25,252.125
414,4.166666667,69.33333333,132.3333333,107.75,79.625
415,8.5,223.6666667,248.3333333,119.75,118.25
416,7,18.33333333,37.33333333,43,79.5
417,32,363.6666667,346,290,364.125
418,1.833333333,56,119.3333333,65,51
419,6.333333333,9,25,23.5,50.375
420,5.166666667,14.33333333,39.66666667,53.25,60.75
421,2.833333333,9.666666667,11.33333333,18,48.625
422,13.33333333,141.6666667,86.66666667,104.25,136.25
423,14.33333333,58,102.6666667,177,211.375
426,32.83333333,819.6666667,711.6666667,878.75,722
427,12.66666667,183.6666667,235.6666667,206,144.875
428,7.166666667,18.33333333,40.66666667,71.25,88.375
430,6,171.6666667,215.6666667,204,150.25
432,12.5,6.333333333,21.66666667,52.75,109.25
433,48.16666667,113,187.3333333,303.5,416.25
434,37.5,273.3333333,416,347.75,351.5
435,35.83333333,532.6666667,682.3333333,653.25,536.625
436,8,7.666666667,13.33333333,20,44
437,14.33333333,111.3333333,78,64.75,63.375
438,41.83333333,60.33333333,170,318.5,357.875
440,14.66666667,306,173,192.5,127.5
441,15.33333333,104.3333333,203.6666667,173.75,189.625
442,17,279,505.3333333,315.25,257.5
443,2.5,2,9.333333333,26,27.75
444,18.33333333,430.6666667,412.3333333,585.75,400.125
445,53.66666667,101,195.6666667,352,869.375
446,19.16666667,205.3333333,357.6666667,376.5,371.5
447,25,177.6666667,298,246.75,254.25
448,8.166666667,11.33333333,16,29.25,35.5
449,20.33333333,53.33333333,87.33333333,143.75,210.375
450,32.66666667,315,218,242.5,323.5
453,40,115,227,340.5,392.5
454,10.33333333,59,102,104.5,130.75
455,4.333333333,194,138.3333333,103.75,79.625
456,11.5,297.6666667,250.3333333,233,72.875
457,16.83333333,337,424.6666667,433,306.625
458,24.66666667,382,293,356.5,339.875
459,41,427.3333333,541.3333333,552.25,529.625
460,14.83333333,72,195.3333333,141.25,161.375
461,58.33333333,353.6666667,321,529.75,596.25
462,22.5,145.3333333,455.3333333,400,416.625
465,18.83333333,209.3333333,249,154.25,135.125
466,14.83333333,282.6666667,419.3333333,318.75,267.5
467,10.33333333,124.6666667,97.66666667,96.25,93.375
468,19.66666667,483.3333333,436,317.25,220.375
469,13.16666667,443.3333333,263,181.75,137.625
470,31.66666667,77,152.3333333,253.75,327
471,14.16666667,22.33333333,55.33333333,81,139
472,24.66666667,439.3333333,491,330.5,274.875
473,18.5,58.33333333,146,186,226.25
474,19.66666667,309,320.6666667,295.75,211
475,18.16666667,269,254.6666667,204.5,235.25
476,30.16666667,118,194,256.25,345.375
477,52.33333333,267,338.6666667,493.25,592.625
478,39,123,166.3333333,267.5,363.5
479,43.16666667,101.6666667,242,328.75,438.25
480,18.66666667,129,117.3333333,165,255.375
481,15.5,20.66666667,62,133,136.875
482,38.33333333,153.6666667,280.3333333,369,418.75
483,41.33333333,153.3333333,225,392.5,438.5
484,10.33333333,517,251,270.75,160
485,14.5,218.3333333,276,227.75,153.875
486,30,255.6666667,518.6666667,323.75,245
487,9.5,14.33333333,24.66666667,37,47.25
488,31.83333333,168.6666667,304.3333333,423.75,472.375
490,50.5,447,451.3333333,468.25,567.875
491,16.83333333,561.6666667,277,264.25,156.375
492,31.66666667,274.6666667,275.3333333,476.75,434.125
493,19.83333333,304.6666667,184,266.75,132.875
494,42.5,192.6666667,295.3333333,288.5,390.375
495,24,115.6666667,124.6666667,198.75,305.875
496,14,274,441.3333333,431.5,309.375
497,28.33333333,542.3333333,671.6666667,741.25,553.5
498,22.83333333,218.6666667,226.6666667,232.75,377
499,23.5,281,391.6666667,493.75,351.5
500,17,522,262,187.75,131.75
501,11.5,89.66666667,106,203.25,315.25
502,17,67.66666667,83.66666667,148.5,199.875
503,16.66666667,295.6666667,309,256.75,244
504,2.5,1.333333333,0,0,0
505,26.66666667,235,297,372.5,386.875
507,41,163.3333333,200.3333333,269.5,421.125
508,19.33333333,176.6666667,290.6666667,201.25,251.125
509,22.83333333,110.3333333,277.6666667,450.5,383.875
511,36.83333333,106.6666667,134,258.5,640.875
513,21.16666667,185,167.6666667,144,166.25
514,23.83333333,260.6666667,360,656.25,779.375
515,26.33333333,86.66666667,127.3333333,234.5,358.625
516,4.333333333,59.66666667,133.6666667,48.75,53.375
517,9.166666667,438.3333333,351.6666667,181.5,147.125
518,33,338.3333333,393,305.75,342.125
519,46.33333333,1035.666667,738.3333333,643.75,1005
520,30.5,1184.333333,667.6666667,349.25,170.125
522,7.333333333,214.3333333,71.33333333,85.75,48
523,30.33333333,294.3333333,459.6666667,347,476.5
524,9.166666667,450.3333333,462.6666667,200.75,122.25
525,21.66666667,175.3333333,238.6666667,246.5,243.375
526,19,286.3333333,368,284.25,205.625
527,39.16666667,369.3333333,242.6666667,241.5,329.125
528,16.66666667,164,126,165.25,255.125
529,32.83333333,146.3333333,146.6666667,285.5,296.875
530,16.83333333,224,190.3333333,234,272.875
531,37.83333333,127,200.3333333,250.5,333.375
532,26.33333333,41.66666667,128.3333333,240.25,241.75
533,16.33333333,417.3333333,409.3333333,249.75,128.875
534,3.333333333,273.3333333,122.3333333,129.5,87.625
536,38.5,393.6666667,281,223.25,187.75
537,37,354.3333333,496.6666667,373,402.875
539,16.16666667,98.33333333,168.3333333,227.25,220.875
540,18.16666667,161.3333333,327.6666667,274.5,292.625
545,3,45,31,50.25,41.375
546,26.5,237,374,240.25,229
2000,7.166666667,159,190.6666667,204.25,142.625
2001,0,22,35,20,17.25
2002,19.33333333,112.6666667,192,172.25,195.625
2003,0.833333333,11.66666667,9.333333333,8.25,15.5
2004,16.16666667,258.6666667,158.3333333,184.5,175.625
2005,1,7.333333333,7.666666667,5.25,1.125
2006,24.5,462,576,840,437.5
2008,19.83333333,142.3333333,307.6666667,440.5,373.625
2009,18,41.33333333,67.66666667,93.75,133.375
2010,8.833333333,148,354.3333333,269.5,185.5
2012,22.66666667,384.3333333,216,164.5,155
