station_id,night,morning,noon,afternoon,evening
2017,9.5,146.3333333,187,103.5,94.125
2021,20.83333333,113.3333333,201.6666667,238.25,308.625
2022,1.666666667,54.66666667,69.66666667,68.25,48.625
2023,3,253,89.66666667,96.25,50.25
3002,27.66666667,409,384.3333333,502,500.375
3016,16,115,186.3333333,287,249.5
3017,0.5,0.666666667,0,0.5,0.625
3036,0,0,1.333333333,0.5,0
3040,0,0,0,0.25,0
3041,4.666666667,7.333333333,10.66666667,16,23.875
3042,6.166666667,27,30,21.75,25.875
3043,2.333333333,2,12.66666667,14.25,21.5
3044,0.666666667,5.333333333,10,11.25,10.875
3046,8,3.333333333,11.33333333,21.5,34.75
3047,5.166666667,10.66666667,16,17.25,34.875
3048,6.333333333,8,4.666666667,12.5,29.375
3049,3.666666667,6.666666667,13.66666667,22.25,41.75
3050,7.333333333,9,9.666666667,15.5,33.875
3052,10.33333333,7,18.66666667,31.25,67.625
3053,2.5,1.666666667,9.666666667,13.25,26.375
3054,3.5,1.333333333,5.666666667,14.25,36.125
3055,4.5,14,20,20,35
3056,3.5,22.66666667,22,20.5,26.75
3057,3.333333333,4,13.66666667,19.25,56
3058,5.166666667,4,11,18,36
3059,6.166666667,3,4,11.25,24
3060,13.33333333,1.333333333,6,16.25,33.25
3061,4.666666667,15,5.333333333,11.75,17.625
3062,9.166666667,29.66666667,29.66666667,19.5,22.625
3063,3.666666667,4.333333333,21.66666667,20.25,25
3064,14.33333333,47.33333333,49.33333333,57.5,72.25
3065,4.666666667,7.666666667,13,25.25,26.75
3066,7.5,20.66666667,58.33333333,38.75,23.125
3067,7.5,22.66666667,21,29.75,40.5
3068,8.666666667,20.66666667,28.66666667,49,53.375
3069,1.833333333,18.33333333,21,17.5,20.125
3070,4.833333333,3,9.666666667,22,36.375
3071,1.833333333,19.33333333,38.66666667,23.25,33.875
3072,6.833333333,4,10,15.75,43.5
3073,11.33333333,22.33333333,22.33333333,27.25,37.5
3074,14.5,34.33333333,80.33333333,88.25,110.25
3075,0.833333333,5,19,15,13.375
3076,8.833333333,18,16,22.75,59.5
3077,16,9.666666667,25.66666667,47,79.25
3078,7.166666667,100.6666667,93,71.25,62.5
3079,10.5,7,27.66666667,46.5,81.25
3080,7.666666667,24,33.66666667,37.75,56.25
3081,8.833333333,6.333333333,16,37,46.125
3082,12.66666667,22,53,58.75,94.5
3083,10.33333333,11.66666667,22.33333333,45.25,64.75
3084,5.833333333,29.33333333,31.66666667,36.75,58.25
3085,8.833333333,26.33333333,56.33333333,87.75,97.125
3086,10.83333333,110,108.6666667,70.5,98.75
3087,18.66666667,65.66666667,77,88.5,97
3088,4.666666667,13.66666667,23.66666667,33,56.25
3089,3.5,5,12.33333333,16.25,25.375
3090,12.83333333,252,178.3333333,155,161.625
3091,5.666666667,4.666666667,10.66666667,28.75,45.875
3092,8.833333333,114.3333333,191.3333333,122,110.625
3093,20.16666667,249.6666667,183.3333333,188.25,187.125
3094,10.16666667,8.666666667,16.33333333,30.75,53.25
3095,7.833333333,4.333333333,13.66666667,20.5,48.25
3096,10,38.66666667,73.66666667,94,115.875
3098,1.5,43,25.33333333,27,39.25
3099,3.5,7,25.33333333,24.25,36.5
3100,26.5,14,25.66666667,45,94.375
3101,7,35,67,76.75,81.375
3102,4.333333333,23.33333333,42.33333333,50,63.5
3103,9.833333333,17,51.66666667,84.25,86.375
3105,2,11.33333333,24.66666667,31.25,34.25
3106,12.33333333,16.66666667,35.66666667,56.75,100.5
3107,14.16666667,54.33333333,112.3333333,144,174.75
3108,12.5,38.66666667,44.33333333,77.75,143.75
3109,10.66666667,18.33333333,45,57.75,86.625
3110,10.83333333,43.66666667,68.33333333,87.25,104
3111,13.83333333,20.66666667,39,48.5,73.5
3112,18.33333333,64.33333333,156.3333333,147,173.75
3113,14.66666667,54.33333333,73.33333333,79.5,104.25
3114,0.833333333,67.33333333,30,18.5,16
3115,11.16666667,36.66666667,40.66666667,65.75,111.25
3116,14.33333333,21,44.66666667,75.25,135.5
3117,8.5,17.66666667,40.66666667,52.75,79.375
3118,8.666666667,27.66666667,28.66666667,51,86
3119,6.666666667,254,144.3333333,96.5,106.75
3120,2.833333333,22.66666667,23,29.5,51.625
3121,1.666666667,9.333333333,45.33333333,45.25,32.875
3122,5.166666667,8.666666667,49,40,50.25
3123,0.666666667,16,17.33333333,17.75,13.375
3124,3.833333333,22.66666667,40.66666667,72,105.375
3125,5,51.33333333,49.66666667,45.75,55.625
3126,2.5,74.33333333,68,63.25,48.5
3127,0.833333333,28.66666667,19,17.25,19.125
3128,1.166666667,15,8.666666667,10.75,13.125
3129,16.83333333,66.66666667,96.66666667,120.75,151.75
3131,7.5,55.66666667,69.66666667,76.75,73.75
3132,7.666666667,255.3333333,109,161,70.25
3134,8.166666667,102.3333333,120.3333333,106,105.625
3135,16.66666667,71,97.33333333,152.25,199.875
3137,6.5,154.6666667,370,609.5,260
3138,0,0,0.333333333,0,0
3139,0.333333333,25,24.66666667,38,28.375
3140,20.16666667,108.3333333,144.6666667,239.75,353.875
3141,33.33333333,601.6666667,425.6666667,303.5,303.75
3142,26.66666667,103,126.3333333,215,247.5
3143,2.833333333,87,266.3333333,467,158.375
3144,5.333333333,33.33333333,67.66666667,89.5,68.375
3145,4,64.33333333,86.66666667,146.75,135.625
3146,13.66666667,51.66666667,72.66666667,103.25,132.5
3147,14.66666667,225.6666667,181.3333333,236.75,250.25
3148,11.83333333,47.66666667,67,110.5,167.625
3150,12.5,52.33333333,47.66666667,60.25,134.875
3151,12.5,41.66666667,59.33333333,88.75,171.25
3152,3.833333333,42.66666667,66.66666667,95.5,92.5
3153,5.5,31.66666667,52.33333333,78.5,118.625
3155,4.666666667,150.3333333,233,148,117.875
3156,21.66666667,376.6666667,195,179,233
3157,5.166666667,35.66666667,36,75.75,83
3158,8.5,135.6666667,191,240,218.625
3159,14.83333333,112.3333333,170.6666667,247,208.75
3160,4.333333333,48,134.3333333,301.75,146.375
3161,13.16666667,52.33333333,87,147,154.75
3162,6.666666667,60.66666667,94.33333333,143,161.5
3163,10.66666667,93,196.3333333,362.75,225.625
3164,14.66666667,84,141,227.5,253.5
3165,8.666666667,70.66666667,237.6666667,494.25,289.75
3166,4.666666667,53.66666667,106,189.75,199.75
3167,14.16666667,143,199,291.75,339.875
3168,6.166666667,59.33333333,140,272.5,179.125
3169,9.166666667,52,62.66666667,155.75,172.25
3170,9.5,47.33333333,91.66666667,140.5,175.5
3171,8.666666667,45.66666667,104.3333333,185.25,217.375
3172,6.833333333,27.66666667,49,86,127.25
3173,10,61.33333333,121,227.25,275.5
3175,17.5,89.33333333,116.3333333,197.25,235.625
3176,12.83333333,63,83.66666667,104.75,176.875
3177,5.833333333,57,64.33333333,114,154.5
3178,5,25.33333333,65,144.5,153.5
3179,4.333333333,11.66666667,13,15.25,12.375
3180,6.333333333,13.33333333,45.33333333,109.5,82.25
3182,0,0.666666667,41.66666667,264,85.75
3184,0,0,0.333333333,0,0
3199,0,0,0,0.25,0
3213,0,0,0,0,0.125
3219,0,4.666666667,3.333333333,0.25,19.5
3221,0.833333333,44.33333333,30.66666667,15.25,11.25
3222,1,32.33333333,26,27.75,27
3223,4.833333333,300,235.6666667,121.75,79.75
3224,20,204,408,406.75,378.375
3225,0,0,0,0,0.125
3226,4.666666667,37,89,194,146.625
3230,0.333333333,89,49,51.25,336.75
3231,1.833333333,92.33333333,151,141.25,77.375
3232,3.833333333,66.66666667,134.3333333,74.5,49.875
3233,6.833333333,576.6666667,268.3333333,297.25,176.875
3235,4.5,231.6666667,261,136,65.375
3236,18.5,24.33333333,43.33333333,121.25,282.5
3237,4.833333333,12,17,26.25,27.5
3238,7.833333333,25,62,76.5,135.125
3240,0.333333333,0.333333333,0.333333333,0,0.125
3241,9.166666667,6,16,25,45.25
3242,4.833333333,129,112.6666667,101,89.375
3243,12.5,32.33333333,68,111,120.5
3244,12.16666667,166,365.3333333,333.25,268.875
3245,0.333333333,6.333333333,4,1.25,0
3246,11.33333333,177,170.6666667,122.5,74.75
3249,3.333333333,8,20.33333333,20,24.125
3250,0.166666667,0,0.333333333,3.5,5.625
3254,0,0.333333333,32.66666667,207.25,79.125
3255,39.83333333,348.6666667,395.6666667,498,474.125
3256,13.66666667,157,317,409.25,405.375
3258,28.66666667,161.3333333,359.6666667,188.25,206
3259,17.83333333,58,163.3333333,195.5,255.625
3260,21.33333333,246,309.3333333,348,297
3263,74.66666667,554,717.3333333,674.5,764.625
3264,2.166666667,230.3333333,157,103,46.875
3265,36.33333333,132,199.6666667,357,300.125
3267,0,0,0,0.5,0
3276,0,0,0,0,0.125
3282,8.5,61.66666667,293.6666667,507.75,189.625
3283,5.166666667,42.33333333,41.66666667,63.75,82.25
3284,1.666666667,52,38.33333333,63.75,67.125
3285,4.833333333,38.33333333,53,85.25,125.375
3286,9.5,43.33333333,59,84.75,136.75
3287,5.833333333,37.33333333,41,71.5,117.75
3288,7.666666667,25.33333333,52.33333333,80.75,152.25
3289,6,29.33333333,41.66666667,71.25,121.875
3290,14,29,37,49.75,107.625
3291,2,21.33333333,35.33333333,60.75,66.25
3292,1.5,46,117,193.25,88.125
3293,7,52.33333333,47,64.75,102.5
3294,6,60.33333333,48.66666667,75,78.25
3295,11.16666667,69.33333333,114.3333333,230.75,190.625
3297,1.833333333,25.66666667,23.33333333,37.5,29.875
3298,3.5,38.33333333,55.33333333,65,75.625
3300,3.5,15.66666667,49.33333333,93,79.125
3301,12.5,39.66666667,70.33333333,117.5,175
3302,1.5,3.666666667,6.666666667,12.75,14.875
3303,1.833333333,21,20.66666667,30,51.375
3304,3.666666667,33.33333333,43.33333333,48.5,59.75
3305,14.33333333,33.66666667,53.66666667,95.25,166.125
3306,2.666666667,23,30,43.75,58.625
3307,9,32.66666667,50,83,125.75
3308,5.666666667,15.33333333,17.33333333,41,76.625
3309,6.833333333,28.66666667,13.33333333,16,39.375
3310,5.5,14.33333333,29,53,72.875
3311,4.833333333,8.666666667,27.66666667,48.5,69.5
3312,7.666666667,54.66666667,45.66666667,79,124
3313,2.833333333,3.666666667,14.66666667,23.25,43
3314,15.5,61,79.66666667,120,174.375
3315,2.5,14.66666667,42.33333333,67.5,98.375
3316,9.166666667,10.33333333,29,42,66.875
3317,4.5,11,18.33333333,32.25,38.75
3319,3.333333333,11.66666667,31.66666667,53,58.875
3320,3.833333333,10.33333333,37.66666667,93,59.125
3321,7,10,27.33333333,47,68.375
3322,3.666666667,9.666666667,14,22,42.625
3323,15.16666667,25.33333333,65.33333333,101.25,150.375
3324,4.166666667,4.666666667,18,18.75,24.125
3325,7.5,30,26.33333333,57.5,97
3326,0.166666667,1.666666667,5,7,8.875
3327,3.333333333,5.333333333,20,17,21.625
3328,2,4.666666667,15.33333333,27,38.125
3329,5.333333333,15.66666667,32.33333333,56.75,70.375
3330,0,6.333333333,11.66666667,15.25,10.875
3331,5.333333333,12.33333333,53,94.5,117
3332,0,0,0,0,0.375
3333,0,2.333333333,5.666666667,15.75,7.875
3335,6.166666667,49.66666667,50,64,78.125
3336,8.333333333,90.33333333,85.33333333,110.25,82.125
3338,4,3.666666667,6.333333333,6.25,9.375
3339,3.833333333,13.33333333,28,48.5,50.25
3340,0.833333333,2.333333333,13,26.25,13.5
3341,12.66666667,26.33333333,56.33333333,90.5,106.125
3342,1,2,6.666666667,18.25,10.875
3343,5.666666667,21,24.33333333,43,62.25
3344,1.5,5,14,27.5,29.125
3345,4.666666667,123.6666667,52,46.5,24
3347,2.5,8.333333333,31.66666667,55.25,47.125
3348,0.166666667,2,7.333333333,12.25,9.625
3349,2.5,19,64.33333333,111.25,60.875
3350,9.333333333,29,55.33333333,96.5,149.5
3351,9,23.66666667,46.66666667,52.5,83.125
3353,1.666666667,9,40.33333333,77.5,70.25
3354,3.166666667,19.66666667,43,85.75,68.25
3355,1.666666667,26.33333333,51,53.25,30.25
3356,0.5,29.66666667,20.66666667,23.25,29.75
3357,8.5,28,51.66666667,68.25,94.625
3358,0.5,3.666666667,7.333333333,13,20.375
3359,1.666666667,18.66666667,56.33333333,55,32
3360,3.5,19,37,59.5,71.5
3361,6.333333333,29.33333333,47,85.25,96
3362,0.166666667,0.666666667,2,3.25,1.75
3363,1.333333333,24,27,12.5,17.75
3364,4.833333333,16.66666667,42.66666667,59.5,87
3365,4.333333333,14.66666667,31.66666667,54.5,72.125
3366,3.166666667,12.33333333,31.33333333,47.75,70.5
3367,4,100.3333333,88.66666667,123.5,64.125
3368,4.666666667,25.66666667,64,116.25,132.625
3370,2.333333333,18.66666667,15,33,54.375
3372,1.333333333,14.66666667,15.33333333,22.5,42.875
3373,1.5,30.33333333,77.33333333,81,75.25
3374,7.166666667,51.66666667,227.3333333,456.75,244.125
3375,0,1,1.333333333,1.25,2.625
3376,0,1,0,0.75,0.375
3377,2.166666667,14,22.33333333,42.75,57.125
3378,3.333333333,60.33333333,60,87.5,49.125
3379,7,57.66666667,36.66666667,29.25,32.75
3381,1.166666667,28,36,29.75,29.375
3382,4.666666667,65.66666667,67,68.25,85.375
3383,14.66666667,93.33333333,158,203.75,197.25
3384,2.833333333,14,27,35.25,35.75
3386,2.666666667,7,17.33333333,36,43.5
3387,2.666666667,17.66666667,13,26.75,21.375
3388,5.833333333,16.33333333,20,29.75,57.25
3389,4.833333333,11.66666667,24,45,64
3390,6.333333333,9,26,50,63.125
3391,2.5,11.66666667,25.33333333,29.5,39.125
3392,3.666666667,11.33333333,20,34.75,24.5
3393,0.833333333,1.333333333,8.333333333,13.5,14
3394,0.833333333,2.666666667,4.333333333,11.25,5.875
3395,2.833333333,8.333333333,2,7,10.375
3396,6.166666667,8,23,49.75,65
3397,3.333333333,17,47.33333333,50,45.375
3398,2.166666667,24.33333333,37,38.5,39.375
3399,0.166666667,0.333333333,6,5.25,8.875
3400,6,12.66666667,47,75.5,98.25
3401,0.666666667,11.33333333,27.33333333,29.5,21.875
3402,10.16666667,48.66666667,73.66666667,97.25,86.875
3403,4.833333333,36.33333333,38,34,47.5
3404,3.333333333,9.666666667,29,41.75,58.25
3405,2,10.66666667,14.33333333,22,45.125
3408,3.666666667,40,54.66666667,66,83.5
3409,3.833333333,31,38.66666667,50.25,42.25
3410,2.5,13,32.66666667,61.5,59.875
3411,2.5,22.66666667,37.33333333,33.25,52.625
3412,0.833333333,12.66666667,14.66666667,16.75,24.5
3413,3,9.333333333,21,22.75,36.25
3414,1.333333333,13.33333333,13,14,17.375
3415,8,35.66666667,54.33333333,51.5,59.875
3416,8.333333333,108.6666667,76.33333333,98.75,111.875
3417,3.666666667,21,41,66.75,74.875
3418,5.333333333,77.33333333,95.33333333,119.25,80.25
3419,4.833333333,13.33333333,40.66666667,34.75,67.75
3420,8.5,14.33333333,33.33333333,40.5,47
3421,1.666666667,8.666666667,11.66666667,19.75,32.25
3422,3.5,14,31.66666667,67.5,73
3423,5.333333333,24,57.33333333,106.75,94.875
3424,4,6.666666667,4.666666667,7.5,14.625
3425,5.166666667,22.66666667,30.33333333,25,43.5
3427,14.16666667,235,378,376.25,304
3428,19,202.6666667,282.6666667,207.25,215.375
3429,5.333333333,190,132,130.25,152.375
3430,6.5,6,14.33333333,16.5,45.375
3431,7.833333333,18.66666667,38.66666667,62,83.625
3432,0,0,0,0,6.875
3434,0,0,0,0,0.375
3435,0,0,0,0,2.25
3436,0,0,0,0,1.25
